AddressInfo.Title,AddressInfo.Latitude,AddressInfo.Longitude,State,City,Max_Power_KW
Shell Recharge Bagmane Solarium,12.9717,77.7075,Karnataka,Bengaluru,30.0
Shell Recharge Prestige Shantiniketan,12.992,77.7299,Karnataka,Bengaluru,30.0
Shell Recharge Brookfield,12.982973492700651,77.708086,Karnataka,Bengaluru,120.0
Shell Recharge Mahadeva Kodigehalli,13.15446,77.70277,Karnataka,Bengaluru,30.0
Shell Recharge Old Madras Road,12.9923,77.65942,Karnataka,Bengaluru,120.0
Shell Recharge TC Palya,13.02234,77.67867,Karnataka,Bengaluru,120.0
Shell Recharge Thanisandra,13.05367,77.63073,Karnataka,Bengaluru,120.0
Shell Recharge Hennur,13.07536,77.6524,Karnataka,Bengaluru,120.0
Shell Recharge Kogilu Road,13.1043,77.60448,Karnataka,Bengaluru,120.0
Shell Yelahanka New Town,13.098,77.5658,Karnataka,Bengaluru,120.0
Wonderla Bengaluru,12.838006,77.402104,Karnataka,Bengaluru,60.0
Metropolis Gurukrupa Apartment,12.87479,77.64694,Karnataka,Bengaluru,7.4
Bolt.Earth Charging Station,12.48172,77.03598,Karnataka,Bharathi Nagara,30.0
Eagleton The Golf Resort,12.80007,77.41324,Karnataka,Bidadi,60.0
Hotel Shivani,23.96396396396412,76.93830402560593,Madhya Pradesh,Biora,60.0
Rest Area Jio BP  RHS,26.378544178688983,76.25327630896135,Rajasthan,Bonli,60.0
DME Bonli Jio BP LHS,26.377358016679597,76.25375666945047,Rajasthan,Bonli,60.0
Hotel Varun Mansion ,13.00219031804562,76.13960172358225,Karnataka,Boovanahalli,60.0
S.G. Enterprises BPCL,13.85362,74.6304,Karnataka,Byndoor,30.0
Orion Plaza EVCS - GO EC,8.863426989733298,76.87120784,Kerala,Chadayamangalam,60.0
Nisarga Family Restaurant,14.55971,75.72506,Karnataka,Chalageri,120.0
Irrai EVCS | Chalakka,10.155044701593752,76.28093391543848,Kerala,Chalakka,30.0
Indian Coffee House (EVOK) - ChargeMOD,10.28934329936537,76.33706820135649,Kerala,Chalakkudy,30.0
Clay House Hotel,10.285574229385333,76.34237765373388,Kerala,Chalakkudy,30.0
Flash Charge EVCS - ChargeMOD,10.339608926521834,76.32174630594778,Kerala,Chalakudy,60.0
Edassery Samrudhi Hypermarket (EVOK) - ChargeMOD,10.30310177272014,76.33704224327056,Kerala,Chalakudy,30.0
Iongrid | Thuruthy,9.473794270373643,76.52851437737809,Kerala,Changanasseri,90.0
EQ Charis EVCS | Cheeranchira,9.478424884249108,76.56147986042515,Kerala,Changanassery,30.0
160kW GREEN ENERGY EV CHARGING STATION,9.437442172035318,76.54200920369158,Kerala,Changanassery,160.0
Changanassery Immaculate Mary EVCS,9.459860217939864,76.55518358905402,Kerala,Changanassery,25.0
JJ E Fills - ChargeMOD,9.452250326,76.54723889833599,Kerala,Changanassery,60.0
Kanthari Restaurants,9.455165469662148,76.54242382238897,Kerala,Changanassery,24.0
Sihla Energy EVCS - ChargeMOD,10.734551963997376,76.04864669,Kerala,Changaramkulam,60.0
Kadharkkante Chayakkada - ChargeMOD,10.732605539222304,76.03743007303854,Kerala,Changaramkulam,30.0
Shivalli Restaurant 1,12.63923,77.14021,Karnataka,Channapatna,80.0
Vintage Retreat Resort,17.79618,77.42225,Karnataka,Chatnalli,30.0
Panamthodil Bakers | Chavara,8.983229974793687,76.53477039800418,Kerala,Chavara,90.0
Surya Hotel (EVOK) - ChargeMOD,10.431569255270972,76.14255951064098,Kerala,Chazhoor,30.0
Apco Hyundai - ChargeZone,12.508914881020132,75.04478426,Kerala,Chengala,30.0
Quik Energy EVCS - GO EC,9.311533026822984,76.62272052601361,Kerala,Chengannur,60.0
Amrutham Auto Care EVCS - GO EC,9.342144722861462,76.59848783947041,Kerala,Chengannur,30.0
Green Plug EVCS - ChargeMOD,9.271844657077722,76.65508788685014,Kerala,Chengannur,30.0
PTC Arcade - ChargeMOD,9.3012934024366,76.63077878361094,Kerala,Chengannur,90.0
Etron Energies,13.07148,80.11256,Tamil Nadu,Chennai,30.0
SRM Institute of science and technology,12.919046997353462,80.28298608,Tamil Nadu,Chennai,1000000.0
Club Mahindra Resort - Cherai Beach,10.137093999810617,76.18028952544324,Kerala,Cherai,22.0
Adithya Shree EVCS | Ponnamveli,9.743231981,76.31942862417168,Kerala,Cherthala,30.0
Huts Restaurant EVCS - GO EC,9.683890802446342,76.33358219,Kerala,Cherthala,60.0
ANERT EESL - Autokast ,9.63370013,76.33372244690435,Kerala,Cherthala,60.0
AR Dine - GO EC,10.750381972119513,76.27475659553528,Kerala,Cheruthuruthi,25.0
Ammas Fast - ChargeMOD,12.22720022514642,75.15911993928029,Kerala,Cheruvathur,60.0
VKJ | Flash Charge EVCS | Chettuva,10.521423220390917,76.05127900964453,Kerala,Chettuva,60.0
Hotel Empire ChargeZone,20.740672958672647,73.0356012,Gujarat,Chikhli,60.0
Jio-BP Petrol Pump,16.19321,74.518,Karnataka,Chikkalagudda,60.0
The Grand Krishna Hotel,13.32784,75.77365,Karnataka,Chikkamagaluru,7.0
